"X1","Estado","Fecha","IP_dia_1","IP_dia_2","IP_dia_3","IP_dia_4","IP_dia_5","IP_dia_6","IP_dia_7","IP_dia_8","IP_dia_9","IP_dia_10","IP_dia_11","IP_dia_12","IP_dia_13","IP_dia_14","IP_dia_15","IP_dia_16","IP_dia_17","IP_dia_18","IP_dia_19","IP_dia_20","IP_dia_21","IP_dia_22","IP_dia_23","IP_dia_24","IP_dia_25"
4,"Baden-Wurttemberg",2020-12-12,67.4285714285716,42.8571428571427,-143.142857142857,-5.14285714285734,-7.85714285714312,3.14285714285688,123.714285714285,259.714285714286,394.142857142857,781.857142857143,839,884.857142857143,923.571428571428,957.857142857143,939.714285714285,917.285714285714,965,983.714285714286,973.714285714286,945.857142857143,819.142857142857,738.142857142857,619.285714285714,252.285714285714,-47.4285714285716
5,"Bayern",2020-12-31,968.428571428571,555,588.857142857143,416.142857142857,67.8571428571431,-212.571428571428,-313,-436.285714285714,-515,-320.142857142857,204,-414.714285714286,-517.285714285714,-471,-388,-638.571428571429,-971.857142857143,-1159.14285714286,-402.714285714286,-192.571428571429,-177.714285714286,-316,-152.428571428572,-11.2857142857147,-410.428571428572
6,"Nordrhein-Westfalen",2020-12-11,-690.142857142857,-677.857142857143,-713.142857142857,-585.285714285714,-944,-1053.71428571429,-976.714285714285,-819.571428571428,-928,-488.142857142858,-165.285714285715,525.285714285714,676.142857142858,765.428571428572,848.714285714286,1073.85714285714,964.285714285714,1040.57142857143,1069.85714285714,1049,1105.71428571429,1134.42857142857,1202.14285714286,859.571428571428,325.428571428571
11,"Moscow Oblast",2020-12-26,504.571428571429,483.571428571429,462.142857142857,462.714285714286,454.285714285714,428.428571428571,411,389.285714285714,369.285714285714,346.571428571429,320.428571428571,295.714285714286,281.571428571428,261.857142857143,240.714285714286,203.142857142857,192.142857142857,212.714285714286,192,129.428571428572,55.2857142857142,-22.5714285714284,-57.285714285714,-116.142857142857,-218.714285714286
13,"Kanagawa",2021-01-15,162,97,95,158.285714285714,196.714285714286,220.428571428571,289.857142857143,363.285714285714,408.428571428571,410.285714285714,350.285714285714,270.285714285714,273,214.428571428571,103.571428571429,-12.4285714285714,-79.4285714285714,-131.142857142857,-157.285714285714,-232.285714285714,-187.571428571429,-313.142857142857,-295.714285714286,-292.285714285714,-278.142857142857
14,"Osaka",2021-01-09,-23.5714285714286,17.8571428571428,29.5714285714286,38.7142857142857,61.1428571428571,98.8571428571429,110.428571428571,176.857142857143,208.857142857143,204.428571428571,241,267,271.857142857143,258.571428571428,257.714285714286,247.428571428571,264,244.571428571429,200.571428571429,150.428571428572,157.571428571428,89.1428571428571,30.2857142857142,-10.4285714285714,-24.2857142857143
15,"Tokyo",2021-01-08,271,297.428571428571,390.142857142857,420.142857142857,411.285714285714,417.714285714286,468.857142857143,546.285714285714,651.285714285714,774.571428571429,954,1116.28571428571,1165.71428571429,1193.57142857143,1129.85714285714,1072,845.571428571429,710.571428571428,526.428571428571,404.142857142857,356.714285714286,316.571428571429,172,57,-98.7142857142856
19,"Minas Gerais",2021-02-05,583.142857142858,-546,5.85714285714312,251.714285714286,71.8571428571422,-44.2857142857138,-110.571428571429,-99.2857142857138,-94.5714285714284,70,-31.7142857142853,-644.571428571428,21.8571428571431,-317.428571428572,-87,80.4285714285716,-101.857142857142,723.571428571428,533.142857142857,-47.8571428571431,224.428571428572,27.4285714285716,-519.000000000001,-492.142857142857,-1377.57142857143
20,"Santa Catarina",2021-01-08,-297.571428571428,-1398.85714285714,-1326.57142857143,-1274.28571428571,87.1428571428573,307,-728.714285714286,-612.428571428571,535.857142857143,-229.857142857143,-300.571428571429,309.571428571428,446.285714285714,1100.28571428571,1458,537.571428571429,925.142857142857,349.142857142857,308.285714285714,-190.714285714286,88.1428571428569,-984,-220.428571428572,-440.142857142857,-545.571428571428
23,"Guanajuato",2021-01-22,726.571428571429,769.714285714286,817.285714285714,857.428571428571,902.428571428571,953.142857142857,921.714285714286,992,1072.57142857143,1109.42857142857,1101.14285714286,1095.28571428571,1099.57142857143,1154,1116.28571428571,1037,990.428571428571,966.571428571429,900.428571428571,844,784.714285714286,704,651.714285714286,501,571.142857142857
25,"California",2020-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"Florida",2021-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
