"","tablaIP.Estado","tablaIP.Fecha","kmeansIP.cluster","kmeansR0.cluster","kmeansIA.cluster"
"1","Andalucia",2020-11-03,1,4,3
"2","Catalonia",2020-10-30,1,4,3
"3","Madrid",2020-11-05,2,1,4
"4","Baden-Wurttemberg",2020-12-12,6,3,4
"5","Bayern",2020-12-31,6,1,4
"6","Nordrhein-Westfalen",2020-12-11,6,3,4
"7","Campania",2020-11-09,2,6,3
"8","Lombardia",2020-11-08,5,6,2
"9","Veneto",2020-12-13,3,3,2
"10","Moscow",2020-12-25,3,1,3
"11","Moscow Oblast",2020-12-26,6,3,4
"12","Saint Petersburg",2020-12-12,2,3,2
"13","Kanagawa",2021-01-15,6,4,5
"14","Osaka",2021-01-09,6,2,1
"15","Tokyo",2021-01-08,6,2,5
"16","Karnataka",2020-10-08,3,3,1
"17","Kerala",2020-10-11,4,4,4
"18","Maharashtra",2020-09-12,5,5,1
"19","Minas Gerais",2021-02-05,6,1,4
"20","Santa Catarina",2021-01-08,6,1,3
"21","Sao Paulo",2021-01-28,4,3,6
"22","Ciudad de Mexico",2021-01-17,1,5,3
"23","Guanajuato",2021-01-22,6,5,1
"24","Mexico",2021-01-17,2,2,5
"25","California",2020-12-17,6,4,2
"26","Florida",2021-01-08,6,5,2
"27","Texas",2021-01-06,1,3,2
